date,ninsee,no2,o3,pm10,code_commune,commune_std
01/04/2018,0,41,40,25,,
01/04/2018,75,39,34,23,,
01/04/2018,77,32,42,25,,
01/04/2018,78,21,40,20,,
01/04/2018,91,25,40,23,,
01/04/2018,92,28,37,23,,
01/04/2018,93,40,34,25,,
01/04/2018,94,32,36,25,,
01/04/2018,95,41,36,23,,
01/04/2018,75101,30,33,22,75101.0,75101.0
01/04/2018,75102,32,33,22,75102.0,75102.0
01/04/2018,75103,32,33,22,75103.0,75103.0
01/04/2018,75104,31,33,22,75104.0,75104.0
01/04/2018,75105,30,33,22,75105.0,75105.0
01/04/2018,75106,30,33,22,75106.0,75106.0
01/04/2018,75107,30,33,22,75107.0,75107.0
01/04/2018,75108,30,33,22,75108.0,75108.0
01/04/2018,75109,31,33,22,75109.0,75109.0
01/04/2018,75110,34,33,22,75110.0,75110.0
01/04/2018,75111,34,33,22,75111.0,75111.0
01/04/2018,75112,33,33,24,75112.0,75112.0
01/04/2018,75113,30,33,22,75113.0,75113.0
01/04/2018,75114,29,34,22,75114.0,75114.0
01/04/2018,75115,29,35,22,75115.0,75115.0
01/04/2018,75116,29,35,20,75116.0,75116.0
01/04/2018,75117,30,33,22,75117.0,75117.0
01/04/2018,75118,35,34,22,75118.0,75118.0
01/04/2018,75119,39,33,22,75119.0,75119.0
01/04/2018,75120,36,33,22,75120.0,75120.0
01/04/2018,77001,7,42,15,77001.0,77001.0
01/04/2018,77002,14,35,24,77002.0,77002.0
01/04/2018,77003,7,42,15,77003.0,77003.0
01/04/2018,77004,15,37,20,77004.0,77004.0
01/04/2018,77005,27,32,29,77005.0,77005.0
01/04/2018,77006,10,41,15,77006.0,77006.0
01/04/2018,77007,15,36,20,77007.0,77007.0
01/04/2018,77008,14,35,25,77008.0,77008.0
01/04/2018,77009,8,43,14,77009.0,77009.0
01/04/2018,77010,14,38,22,77010.0,77010.0
01/04/2018,77011,8,43,15,77011.0,77011.0
01/04/2018,77012,11,36,24,77012.0,77012.0
01/04/2018,77013,14,35,24,77013.0,77013.0
01/04/2018,77014,8,42,15,77014.0,77014.0
01/04/2018,77015,10,36,19,77015.0,77015.0
01/04/2018,77016,7,43,15,77016.0,77016.0
01/04/2018,77018,22,33,25,77018.0,77018.0
01/04/2018,77019,11,41,19,77019.0,77019.0
01/04/2018,77020,13,36,24,77020.0,77020.0
01/04/2018,77021,10,42,17,77021.0,77021.0
01/04/2018,77022,11,40,15,77022.0,77022.0
01/04/2018,77023,17,34,27,77023.0,77023.0
01/04/2018,77024,11,35,24,77024.0,77024.0
01/04/2018,77025,11,40,19,77025.0,77025.0
01/04/2018,77026,11,36,22,77026.0,77026.0
01/04/2018,77027,10,42,14,77027.0,77027.0
01/04/2018,77028,14,35,24,77028.0,77028.0
01/04/2018,77029,15,36,20,77029.0,77029.0
01/04/2018,77030,11,35,24,77030.0,77030.0
01/04/2018,77031,15,36,22,77031.0,77031.0
01/04/2018,77032,12,36,24,77032.0,77032.0
01/04/2018,77033,11,36,24,77033.0,77033.0
01/04/2018,77034,14,38,19,77034.0,77034.0
01/04/2018,77035,10,43,17,77035.0,77035.0
01/04/2018,77036,12,36,24,77036.0,77036.0
01/04/2018,77037,12,40,17,77037.0,77037.0
01/04/2018,77038,16,39,17,77038.0,77038.0
01/04/2018,77039,17,39,19,77039.0,77039.0
01/04/2018,77040,17,39,19,77040.0,77040.0
01/04/2018,77041,8,41,15,77041.0,77041.0
01/04/2018,77042,14,35,24,77042.0,77042.0
01/04/2018,77043,11,35,24,77043.0,77043.0
01/04/2018,77044,14,38,19,77044.0,77044.0
01/04/2018,77045,8,43,15,77045.0,77045.0
01/04/2018,77046,8,41,15,77046.0,77046.0
01/04/2018,77047,18,34,25,77047.0,77047.0
01/04/2018,77048,5,43,15,77048.0,77048.0
01/04/2018,77049,17,34,27,77049.0,77049.0
01/04/2018,77050,10,43,14,77050.0,77050.0
01/04/2018,77051,11,38,19,77051.0,77051.0
01/04/2018,77052,13,38,19,77052.0,77052.0
01/04/2018,77053,21,36,22,77053.0,77053.0
01/04/2018,77054,9,43,17,77054.0,77054.0
01/04/2018,77055,29,31,27,77055.0,77055.0
01/04/2018,77056,7,42,15,77056.0,77056.0
01/04/2018,77057,11,35,24,77057.0,77057.0
01/04/2018,77058,29,33,25,77058.0,77058.0
01/04/2018,77059,30,32,25,77059.0,77059.0
01/04/2018,77060,8,41,15,77060.0,77060.0
01/04/2018,77061,9,43,17,77061.0,77061.0
01/04/2018,77062,26,31,27,77062.0,77062.0
01/04/2018,77063,15,34,24,77063.0,77063.0
01/04/2018,77065,13,40,17,77065.0,77065.0
01/04/2018,77066,11,36,24,77066.0,77066.0
01/04/2018,77067,18,38,19,77067.0,77067.0
01/04/2018,77068,11,38,19,77068.0,77068.0
01/04/2018,77069,12,40,17,77069.0,77069.0
01/04/2018,77070,14,35,24,77070.0,77070.0
01/04/2018,77071,9,43,15,77071.0,77071.0
01/04/2018,77072,11,36,22,77072.0,77072.0
01/04/2018,77073,11,37,20,77073.0,77073.0
01/04/2018,77075,24,32,27,77075.0,77075.0
01/04/2018,77076,11,38,20,77076.0,77076.0
01/04/2018,77077,18,34,27,77077.0,77077.0
01/04/2018,77078,12,35,24,77078.0,77078.0
01/04/2018,77079,8,42,17,77079.0,77079.0
01/04/2018,77080,11,36,24,77080.0,77080.0
01/04/2018,77081,17,37,20,77081.0,77081.0
01/04/2018,77082,15,38,20,77082.0,77082.0
01/04/2018,77083,30,32,25,77083.0,77083.0
01/04/2018,77084,14,34,25,77084.0,77084.0
01/04/2018,77085,26,32,25,77085.0,77085.0
01/04/2018,77086,13,39,19,77086.0,77086.0
01/04/2018,77087,14,36,22,77087.0,77087.0
01/04/2018,77088,7,42,15,77088.0,77088.0
01/04/2018,77089,12,40,19,77089.0,77089.0
01/04/2018,77090,11,38,20,77090.0,77090.0
01/04/2018,77091,19,34,22,77091.0,77091.0
01/04/2018,77093,11,35,24,77093.0,77093.0
01/04/2018,77094,23,33,29,77094.0,77094.0
01/04/2018,77095,24,33,29,77095.0,77095.0
01/04/2018,77096,13,40,17,77096.0,77096.0
01/04/2018,77097,12,35,24,77097.0,77097.0
01/04/2018,77098,12,38,20,77098.0,77098.0
01/04/2018,77099,10,43,15,77099.0,77099.0
01/04/2018,77100,12,40,19,77100.0,77100.0
01/04/2018,77101,10,41,19,77101.0,77101.0
01/04/2018,77102,6,43,15,77102.0,77102.0
01/04/2018,77103,13,38,19,77103.0,77103.0
01/04/2018,77104,19,35,22,77104.0,77104.0
01/04/2018,77106,13,35,24,77106.0,77106.0
01/04/2018,77107,17,36,22,77107.0,77107.0
01/04/2018,77108,29,32,27,77108.0,77108.0
01/04/2018,77109,12,37,22,77109.0,77109.0
01/04/2018,77110,9,43,15,77110.0,77110.0
01/04/2018,77111,24,33,27,77111.0,77111.0
01/04/2018,77112,6,43,15,77112.0,77112.0
01/04/2018,77113,13,36,24,77113.0,77113.0
01/04/2018,77114,22,35,22,77114.0,77114.0
01/04/2018,77115,9,43,15,77115.0,77115.0
01/04/2018,77116,13,35,24,77116.0,77116.0
01/04/2018,77117,11,35,24,77117.0,77117.0
01/04/2018,77118,27,32,29,77118.0,77118.0
01/04/2018,77119,14,37,20,77119.0,77119.0
01/04/2018,77120,11,35,24,77120.0,77120.0
01/04/2018,77121,29,32,24,77121.0,77121.0
01/04/2018,77122,20,37,22,77122.0,77122.0
01/04/2018,77123,27,31,29,77123.0,77123.0
01/04/2018,77124,27,32,25,77124.0,77124.0
01/04/2018,77125,21,33,27,77125.0,77125.0
01/04/2018,77126,14,34,25,77126.0,77126.0
01/04/2018,77127,19,35,22,77127.0,77127.0
01/04/2018,77128,20,33,25,77128.0,77128.0
01/04/2018,77129,10,35,24,77129.0,77129.0
01/04/2018,77130,17,34,25,77130.0,77130.0
01/04/2018,77131,14,35,24,77131.0,77131.0
01/04/2018,77132,23,33,27,77132.0,77132.0
01/04/2018,77133,10,42,17,77133.0,77133.0
01/04/2018,77134,11,36,22,77134.0,77134.0
01/04/2018,77135,14,37,22,77135.0,77135.0
01/04/2018,77136,19,35,22,77136.0,77136.0
01/04/2018,77137,11,36,24,77137.0,77137.0
01/04/2018,77138,15,36,22,77138.0,77138.0
01/04/2018,77139,29,31,27,77139.0,77139.0
01/04/2018,77140,10,40,19,77140.0,77140.0
01/04/2018,77141,20,33,25,77141.0,77141.0
01/04/2018,77142,19,34,25,77142.0,77142.0
01/04/2018,77143,18,34,27,77143.0,77143.0
01/04/2018,77144,17,35,24,77144.0,77144.0
01/04/2018,77145,16,38,20,77145.0,77145.0
01/04/2018,77146,29,32,24,77146.0,77146.0
01/04/2018,77147,14,38,22,77147.0,77147.0
01/04/2018,77148,10,35,24,77148.0,77148.0
01/04/2018,77149,12,37,22,77149.0,77149.0
01/04/2018,77150,21,34,29,77150.0,77150.0
01/04/2018,77151,13,36,24,77151.0,77151.0
01/04/2018,77152,15,39,17,77152.0,77152.0
01/04/2018,77153,25,33,29,77153.0,77153.0
01/04/2018,77154,18,34,24,77154.0,77154.0
01/04/2018,77155,26,32,27,77155.0,77155.0
01/04/2018,77156,6,43,15,77156.0,77156.0
01/04/2018,77157,11,35,24,77157.0,77157.0
01/04/2018,77158,9,43,17,77158.0,77158.0
01/04/2018,77159,11,39,19,77159.0,77159.0
01/04/2018,77161,8,43,17,77161.0,77161.0
01/04/2018,77162,13,35,24,77162.0,77162.0
01/04/2018,77163,16,34,27,77163.0,77163.0
01/04/2018,77164,11,41,19,77164.0,77164.0
01/04/2018,77165,12,40,19,77165.0,77165.0
01/04/2018,77166,8,43,15,77166.0,77166.0
01/04/2018,77167,11,40,19,77167.0,77167.0
01/04/2018,77168,10,43,15,77168.0,77168.0
01/04/2018,77169,29,32,24,77169.0,77169.0
01/04/2018,77170,6,43,15,77170.0,77170.0
01/04/2018,77171,21,33,27,77171.0,77171.0
01/04/2018,77172,9,43,17,77172.0,77172.0
01/04/2018,77173,16,34,27,77173.0,77173.0
01/04/2018,77174,11,38,20,77174.0,77174.0
01/04/2018,77175,20,37,22,77175.0,77175.0
01/04/2018,77176,15,35,24,77176.0,77176.0
01/04/2018,77177,24,34,24,77177.0,77177.0
01/04/2018,77178,6,43,15,77178.0,77178.0
01/04/2018,77179,11,40,17,77179.0,77179.0
01/04/2018,77180,23,35,22,77180.0,77180.0
01/04/2018,77181,27,32,24,77181.0,77181.0
01/04/2018,77182,11,35,24,77182.0,77182.0
01/04/2018,77183,12,35,24,77183.0,77183.0
01/04/2018,77184,8,43,17,77184.0,77184.0
01/04/2018,77185,12,40,17,77185.0,77185.0
01/04/2018,77186,13,43,17,77186.0,77186.0
01/04/2018,77187,10,36,20,77187.0,77187.0
01/04/2018,77188,12,40,17,77188.0,77188.0
01/04/2018,77190,12,39,19,77190.0,77190.0
01/04/2018,77191,13,40,19,77191.0,77191.0
01/04/2018,77192,17,35,22,77192.0,77192.0
01/04/2018,77193,18,34,27,77193.0,77193.0
01/04/2018,77194,10,42,17,77194.0,77194.0
01/04/2018,77195,15,38,19,77195.0,77195.0
01/04/2018,77196,25,32,29,77196.0,77196.0
01/04/2018,77197,12,36,24,77197.0,77197.0
01/04/2018,77198,7,42,15,77198.0,77198.0
01/04/2018,77199,17,34,27,77199.0,77199.0
01/04/2018,77200,7,42,15,77200.0,77200.0
01/04/2018,77201,14,37,22,77201.0,77201.0
01/04/2018,77202,6,43,15,77202.0,77202.0
01/04/2018,77203,16,34,27,77203.0,77203.0
01/04/2018,77204,10,35,24,77204.0,77204.0
01/04/2018,77205,19,34,27,77205.0,77205.0
01/04/2018,77206,14,34,24,77206.0,77206.0
01/04/2018,77207,9,43,14,77207.0,77207.0
01/04/2018,77208,11,37,20,77208.0,77208.0
01/04/2018,77209,28,32,25,77209.0,77209.0
01/04/2018,77210,9,43,17,77210.0,77210.0
01/04/2018,77211,14,38,20,77211.0,77211.0
01/04/2018,77212,10,41,19,77212.0,77212.0
01/04/2018,77214,26,31,29,77214.0,77214.0
01/04/2018,77215,23,34,24,77215.0,77215.0
01/04/2018,77216,5,43,15,77216.0,77216.0
01/04/2018,77217,20,36,22,77217.0,77217.0
01/04/2018,77218,11,37,20,77218.0,77218.0
01/04/2018,77219,17,34,24,77219.0,77219.0
01/04/2018,77220,7,42,15,77220.0,77220.0
01/04/2018,77221,27,32,25,77221.0,77221.0
01/04/2018,77222,16,37,20,77222.0,77222.0
