identifiant_interne,libelle,nom_court,sigle,type_detablissement,secteur_detablissement,vague_contractuelle,localisation,site_internet,geolocalisation,uai_identifiant,siret,siren,identifiant_wikidata,element_wikidata,identifiant_idref,identifiant_eter,identifiant_ror,element_ror,identifiant_isni,element_isni,date_creation,code_commune,commune,code_unite_urbaine,unite_urbaine,code_departement,departement,code_academie,academie,code_region,region,ancien_code_region,ancienne_region,adresse,code_postal,localite,pays,numero_de_telephone,statut_juridique_court,statut_juridique,compte_facebook,compte_twitter,compte_instagram,compte_linkedin,compte_youtube,scanr,article,champ_recherche,commune_std
VLCX0,CENTRE NATIONAL DES ARTS DU CIRQUE,CNAC,,ECOLE,PRIVE,,Grand est>reims>marne>chalons en champagne,HTTPS://WWW.CNAC.FR/,"48.95119, 4.36256",0511931X,34137252200019.0,341372522.0,Q2945947,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q2945947,030111455,,00AKF2Z72,HTTPS://ROR.ORG/00AKF2Z72,,,,51108.0,CHALONS EN CHAMPAGNE,UU51501,CHALONS EN CHAMPAGNE,D051,MARNE,A19,REIMS,R44,GRAND EST,R21,CHAMPAGNE ARDENNE,1 RUE DU CIRQUE,51000,CHALONS EN CHAMPAGNE,FRANCE,,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,,,,,,,AU,CENTRE NATIONAL DES ARTS DU CIRQUE CNAC,51108.0
HGDTQ,GEODATA PARIS,,,ECOLE,PUBLIC,VAGUE E,Ile de france>creteil>seine et marne>paris>champs sur marne,HTTP://WWW.ENSG.EU/,"48.84105, 2.58736",0772496V,18006701900372.0,180067019.0,Q3578152,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578152,66951844,FR0465,03R3N3715,HTTPS://ROR.ORG/03R3N3715,0000 0001 2160 8996,HTTP://WWW.ISNI.ORG/0000 0001 2160 8996,1941 01 01,77083.0,CHAMPS SUR MARNE,UU00851,PARIS,D077,SEINE ET MARNE,A24,CRETEIL,R11,ILE DE FRANCE,R11,ILE DE FRANCE,6 ET 8 AVENUE BLAISE PASCAL,77455,MARNE LA VALLEE CEDEX 2,FRANCE,33164153001.0,Sans personnalite juridique secteur public,Sans personnalite juridique secteur public,HTTPS://WWW.FACEBOOK.COM/ENSGEOMATIQUE,HTTPS://TWITTER.COM/ENSG_IGN,,Https://www.linkedin.com/school/ensg geomatique/,Https://www.youtube.com/channel/ucuh1rhtvb38lvbjjxp6if2q,,,Ecole nationale des sciences geographiques geodata paris ensg geomatique national school of geographical sciences,77083.0
4I3C4,Ecole nationale superieure d architecture de paris la villette,ENSAPLV,,ECOLE,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 19E,HTTP://WWW.PARIS LAVILLETTE.ARCHI.FR/,"48.89325, 2.38192",0751875F,19751875600014.0,197518756.0,Q3578185,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578185,185977049,FR0182,03E2R1R87,HTTPS://ROR.ORG/03E2R1R87,0000 0001 2322 3651,HTTP://WWW.ISNI.ORG/0000 0001 2322 3651,,75119.0,PARIS 19E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,144 RUE DE FLANDRE,75019,PARIS,FRANCE,,Autre etablissement public national d enseignement,Autre etablissement public national d enseignement,Https://www.facebook.com/la salle dexpo ensaplv 246558815401564/,HTTPS://TWITTER.COM/ENSAPLV,,,,,A L,Ecole nationale superieure d architecture de paris la villette ensaplv,75119.0
38WO2,Ecole superieure d art et de design de reims,ESAD REIMS,,ECOLE,PUBLIC,,GRAND EST>REIMS>MARNE>REIMS,HTTP://ESAD REIMS.FR/FR/,"49.252304, 4.029733",0510084P,20002737300014.0,200027373.0,Q3578396,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578396,106942387,FR0101,04CH3K260,HTTPS://ROR.ORG/04CH3K260,0000 0004 4689 1582,HTTP://WWW.ISNI.ORG/0000 0004 4689 1582,,51454.0,REIMS,UU51701,REIMS,D051,MARNE,A19,REIMS,R44,GRAND EST,R21,CHAMPAGNE ARDENNE,12 RUE LIBERGIER,51100,REIMS,FRANCE,,EPLC,ETABLISSEMENT PUBLIC LOCAL CULTUREL,HTTPS://WWW.FACEBOOK.COM/ESAD.REIMS.FR,HTTPS://TWITTER.COM/ESADDEREIMS,,,Https://www.youtube.com/user/esadreimscom,,A L,Ecole superieure d art et de design de reims esad reims,51454.0
19EZC,Ecole superieure des sciences commerciales d angers,,ESSCA,ECOLE,PRIVE,,Pays de la loire>nantes>maine et loire>angers,HTTPS://WWW.ESSCA.FR/,"47.47636, 0.60065",0490076S,78611672300010.0,786116723.0,Q3578499,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3578499,027771970,,04KKYET53,HTTPS://ROR.ORG/04KKYET53,0000 0001 1541 0780,HTTP://WWW.ISNI.ORG/0000 0001 1541 0780,1909 01 01,49007.0,ANGERS,UU49701,ANGERS,D049,MAINE ET LOIRE,A17,NANTES,R52,PAYS DE LA LOIRE,R52,PAYS DE LA LOIRE,1 RUE JOSEPH LAKANAL,49003,ANGERS CEDEX 01,FRANCE,33241734747.0,ASSOCIATION LOI DE 1901,ASSOCIATION LOI DE 1901,Https://www.facebook.com/essca international students 164464980253086/,HTTPS://TWITTER.COM/ESSCA_ECOLE,,Https://www.linkedin.com/in/essca ecole de management 67aa3922,Https://www.youtube.com/user/esscamanagement,Https://scanr.enseignementsup recherche.gouv.fr/entite/786116723,A L,Ecole superieure des sciences commerciales d angers essca,49007.0
BF1TY,HAUTES ETUDES D INGENIEUR,,HEI,ECOLE,PRIVE,VAGUE E,HAUTS DE FRANCE>LILLE>NORD>LILLE,HTTPS://WWW.HEI.FR/,"50.633728, 3.04502",0590348H,78370700300050.0,783707003.0,Q3128626,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3128626,070527458,FR0120,0185JEY51,HTTPS://ROR.ORG/0185JEY51,0000 0004 0623 2224,HTTP://WWW.ISNI.ORG/0000 0004 0623 2224,1885,59350.0,LILLE,UU59702,LILLE,D059,NORD,A09,LILLE,R32,HAUTS DE FRANCE,R31,NORD PAS DE CALAIS,13 RUE DE TOUL,59014,LILLE CEDEX,FRANCE,33328384858.0,Sans personnalite juridique secteur prive,Sans personnalite juridique secteur prive,Https://www.facebook.com/hautesetudesingenieur,HTTPS://TWITTER.COM/ECOLEHEI,,,HTTPS://WWW.YOUTUBE.COM/USER/ECOLEHEI,,A LA,HAUTES ETUDES D INGENIEUR HEI,59350.0
24VIZ,INSTITUT NATIONAL DU PATRIMOINE,,INP,ECOLE,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 2E,HTTP://WWW.INP.FR/,"48.86661, 2.33907",0754446A,19751234600044.0,197512346.0,Q3152445,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3152445,086260553,,03C2NXN64,HTTPS://ROR.ORG/03C2NXN64,0000 0001 2248 2918,HTTP://WWW.ISNI.ORG/0000 0001 2248 2918,1990 05 18,75102.0,PARIS 2E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,2 RUE VIVIENNE,75002,PARIS,FRANCE,,EPA,Etablissement public national a caractere administratif,Https://www.facebook.com/institutnationaldupatrimoineparis/,HTTPS://TWITTER.COM/INP_PATRIMOINE,Https://www.instagram.com/inp.patrimoine/,Https://www.linkedin.com/school/institut national du patrimoine/,Https://www.youtube.com/user/inpvideotheque/,Https://scanr.enseignementsup recherche.gouv.fr/entite/197512346,A L,Institut national du patrimoine ecole nationale du patrimoine national heritage institute inp,75102.0
2BX2X,"Institut superieur international du parfum, de la cosmetique et de l aromatique alimentaire",ISIPCA,,ECOLE,PRIVE,,Ile de france>versailles>yvelines>paris>versailles,HTTPS://WWW.ISIPCA.FR/,"48.817017, 2.141886",0781110H 0783690M,13001727000302.0,130017270.0,Q3152629,HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q3152629,028549783,,055A50447,HTTPS://ROR.ORG/055A50447,,,,78646.0,VERSAILLES,UU00851,PARIS,D078,YVELINES,A25,VERSAILLES,R11,ILE DE FRANCE,R11,ILE DE FRANCE,36 RUE DU PARC DE CLAGNY,78000,VERSAILLES,FRANCE,,Sans personnalite juridique secteur prive,Sans personnalite juridique secteur prive,HTTPS://WWW.FACEBOOK.COM/ISIPCAPARIS/,HTTPS://TWITTER.COM/ISIPCAPARIS,HTTPS://WWW.INSTAGRAM.COM/ISIPCAPARIS/,HTTPS://WWW.LINKEDIN.COM/COMPANY/ISIPCA/,Https://www.youtube.com/channel/uc29mz6pw4ifxxch2p1usskg,,A L,"Institut superieur international du parfum, de la cosmetique et de l aromatique alimentaire isipca",78646.0
1V4LV,Pole superieur d enseignement artistique paris boulogne billancourt,PSPBB,,ECOLE,PUBLIC,,ILE DE FRANCE>PARIS>PARIS 8E,HTTPS://WWW.PSPBB.FR/FR/,"48.878516, 2.320699",0755448P,20003918800012.0,200039188.0,Q30263695,Https://www.wikidata.org/entity/q30263695,,,00DRBXW02,HTTPS://ROR.ORG/00DRBXW02,0000 0004 4910 9090,HTTP://WWW.ISNI.ORG/0000 0004 4910 9090,,75108.0,PARIS 8E,UU00851,PARIS,D075,PARIS,A01,PARIS,R11,ILE DE FRANCE,R11,ILE DE FRANCE,14 RUE DE MADRID,75008,PARIS,FRANCE,,EPLC,ETABLISSEMENT PUBLIC LOCAL CULTUREL,HTTPS://WWW.FACEBOOK.COM/PSPBB.POLE,HTTPS://TWITTER.COM/_PSPBB,,,,,AU,Pole superieur d enseignement artistique paris boulogne billancourt pspbb,75108.0
6B2WE,UNIVERSITE MARIE ET LOUIS PASTEUR,,UMLP,UNIVERSITE,PUBLIC,VAGUE C,Bourgogne franche comte>besancon>doubs>besancon,,"47.240643, 6.02313",0252044L,93810656400017.0,938106564.0,"Q829449,Q131463872",HTTPS://WWW.WIKIDATA.ORG/ENTITY/Q829449,,,04ASDEE31,HTTPS://ROR.ORG/04ASDEE31,,,2024 12 01,25056.0,BESANCON,UU25601,BESANCON,D025,DOUBS,A03,BESANCON,R27,BOURGOGNE FRANCHE COMTE,R43,FRANCHE COMTE,RUE CLAUDE GOUDIMEL,25000,BESANCON,FRANCE,,EPSCP,"Etablissement public a caractere scientifique, culturel et professionnel",,,,,,,A L,UNIVERSITE MARIE ET LOUIS PASTEUR UMLP,25056.0
